Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    2018.958    3803.725
    2019.042    3801.375
    2019.125    3798.894
    2019.208    3796.587
    2019.292    3794.167
    2019.375    3791.741
    2019.458    3789.377
    2019.542    3786.950
    2019.625    3784.649
    2019.708    3782.167
    2019.792    3779.743
    2019.875    3777.436
    2019.958    3774.956
    2020.042    3772.528
    2020.125    3769.995
    2020.208    3767.465
    2020.292    3764.932
    2020.375    3762.395
    2020.458    3759.863
    2020.542    3757.438
    2020.625    3754.902
    2020.708    3752.368
    2020.792    3749.836
    2020.875    3747.302
    2020.958    3744.769
    2021.042    3742.345
    2021.125    3739.806
    2021.208    3737.205
    2021.292    3734.667
    2021.375    3732.128
    2021.458    3729.527
    2021.542    3727.108
    2021.625    3724.567
    2021.708    3721.965
    2021.792    3719.427
    2021.875    3716.888
    2021.958    3714.287
    2022.042    3711.851
    2022.125    3709.172
    2022.208    3706.554
    2022.292    3703.933
    2022.375    3701.254
    2022.458    3698.636
    2022.542    3696.183
    2022.625    3693.504
    2022.708    3690.885
    2022.792    3688.265
    2022.875    3685.645
    2022.958    3682.967
    2023.042    3680.341
    2023.125    3677.492
    2023.208    3674.702
    2023.292    3671.855
    2023.375    3668.944
    2023.458    3666.216
    2023.542    3663.417
    2023.625    3660.509
    2023.708    3657.778
    2023.792    3654.931
    2023.875    3652.023
    2023.958    3649.293
    2024.042    3646.614
    2024.125    3643.835
    2024.208    3641.113
    2024.292    3638.390
    2024.375    3635.668
    2024.458    3632.889
    2024.542    3630.331
    2024.625    3627.552
    2024.708    3624.830
    2024.792    3622.107
    2024.875    3619.328
    2024.958    3616.606
    2025.042    3613.974
    2025.125    3611.105
    2025.208    3608.170
    2025.292    3605.298
    2025.375    3602.423
    2025.458    3599.494
    2025.542    3596.788
    2025.625    3593.919
    2025.708    3590.983
    2025.792    3588.112
    2025.875    3585.237
    2025.958    3582.308
    2026.042    3579.538
    2026.125    3576.642
    2026.208    3573.735
    2026.292    3570.846
    2026.375    3567.939
    2026.458    3565.043
    2026.542    3562.210
    2026.625    3559.314
    2026.708    3556.411
    2026.792    3553.513
    2026.875    3550.610
    2026.958    3547.714
    2027.042    3544.881
    2027.125    3541.934
    2027.208    3538.929
    2027.292    3535.983
    2027.375    3532.979
    2027.458    3530.032
    2027.542    3527.197
    2027.625    3524.251
    2027.708    3521.246
    2027.792    3518.300
    2027.875    3515.292
    2027.958    3512.349
    2028.042    3509.477
    2028.125    3506.667
    2028.208    3503.753
    2028.292    3500.900
    2028.375    3498.033
    2028.458    3495.176
    2028.542    3492.263
    2028.625    3489.407
    2028.708    3486.539
    2028.792    3483.685
    2028.875    3480.819
    2028.958    3477.962
    2029.042    3475.058
    2029.125    3472.053
    2029.208    3468.987
    2029.292    3465.985
    2029.375    3462.920
    2029.458    3459.911
    2029.542    3457.017
    2029.625    3454.015
    2029.708    3450.946
    2029.792    3447.944
    2029.875    3444.877
    2029.958    3441.873
    2030.042    3438.902
    2030.125    3435.840
    2030.208    3432.673
    2030.292    3429.566
    2030.375    3426.447
    2030.458    3423.337
    2030.542    3420.290
    2030.625    3417.232
    2030.708    3414.062
    2030.792    3410.955
    2030.875    3407.836
    2030.958    3404.726
    2031.042    3401.677
    2031.125    3398.491
    2031.208    3395.258
    2031.292    3392.091
    2031.375    3388.902
    2031.458    3385.672
    2031.542    3382.622
    2031.625    3379.432
    2031.708    3376.203
    2031.792    3373.035
    2031.875    3369.849
    2031.958    3366.616
    2032.042    3363.591
    2032.125    3360.459
    2032.208    3357.274
    2032.292    3354.160
    2032.375    3350.974
    2032.458    3347.843
    2032.542    3344.846
    2032.625    3341.709
    2032.708    3338.529
    2032.792    3335.414
    2032.875    3332.282
    2032.958    3329.097
    2033.042    3326.084
    2033.125    3323.037
    2033.208    3319.945
    2033.292    3316.922
    2033.375    3313.829
    2033.458    3310.783
    2033.542    3307.754
    2033.625    3304.659
    2033.708    3301.616
    2033.792    3298.592
    2033.875    3295.498
    2033.958    3292.452
    2034.042    3289.422
    2034.125    3286.267
    2034.208    3283.162
    2034.292    3280.069
    2034.375    3276.916
    2034.458    3273.809
    2034.542    3270.778
    2034.625    3267.624
    2034.708    3264.519
    2034.792    3261.425
    2034.875    3258.272
    2034.958    3255.165
    2035.042    3252.130
    2035.125    3248.971
    2035.208    3245.858
    2035.292    3242.760
    2035.375    3239.597
    2035.458    3236.487
    2035.542    3233.449
    2035.625    3230.286
    2035.708    3227.176
    2035.792    3224.079
    2035.875    3220.921
    2035.958    3217.806
